,id_operacion,nombre_producto,id_producto,cantidad_consumida_base
4,1130,HUARI 620ML,138,"9,5238"
5,1130,COCA COLA 3LT,62,"7,7500"
6,1130,HUARI 330ML,41,"6,0000"
7,1130,CASA REAL ET. NEGRA 750ML,19,"6,0000"
8,1130,AGUA TONICA 990ML,61,"4,8182"
9,1130,DON LUCHO SILVER 750ML,405,"4,3600"
10,1130,BRANCA 750ML,16,"4,0000"
11,1130,DON LUCHO ORO 700ML,21,"4,0000"
0,1130,AMSTEL LATA 473ML,492,"34,0000"
1,1130,-,45,"32,0030"
2,1130,CORONA 330ML,40,"30,0000"
12,1130,RECONQUISTA 750ML,489,"2,0000"
13,1130,BRANCA MENTA 750ML,17,"2,0000"
3,1130,GINGER ALE 2LT,60,"18,1970"
14,1130,HAVANA CLUB 7A 700ML,12,"1,3750"
15,1130,JW BLACK 1LT,3,"1,0000"
16,1130,BACARDI SOLERA 750ML,15,"1,0000"
17,1130,GEORGE FORSTER AZUL 750ML,491,"1,0000"
18,1130,37 LENGUAS 1LT,480,"1,0000"
19,1130,JACK DANIELS 1LT,8,"1,0000"
20,1130,LA VIUDA DESCALZA 700ML,250,"1,0000"
21,1130,RON BLANCO 1LT,13,"0,7424"
22,1130,JAGERMEISTER 1LT,37,"0,6818"
23,1130,AGUA SIN GAS 2LT,64,"0,6818"
24,1130,MOM ROYAL SMOOTHNESS 700ML,374,"0,6250"
25,1130,SPRITE 3LT,63,"0,4800"
26,1130,TEQUILA JARANA SILVER 750ML,483,"0,4800"
27,1130,CASA REAL ET. NEGRA 1LT,140,"0,4545"
28,1130,ROCKS LIMON 1LT,474,"0,2424"
29,1130,MARTINI VERMUT ROSSO 750ML,306,"0,2400"
30,1130,CAMPARI 750ML,157,"0,2400"
31,1130,STOLICHNAYA 1LT,24,"0,1970"
32,1130,BRANCA 1LT,18,"0,1818"
33,1130,GEORGE FORSTER 500ML,482,"0,1765"
34,1130,TRIPLE SEC 700ML,152,"0,1667"
35,1130,LICOR DE CAFE TRES PLUMAS 700ML,357,"0,0833"
36,1130,MALIBU 1LT,203,"0,0606"
37,1130,JOSE CUERVO REPOSADO 750ML,29,"0,0600"
